time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
10700,,,,-5.673888700000001,8.2,,,,,,
10709,1640,1684,6,,,,,,,,
10732,1641,1688,6,,,,,,,,
10748,1643,1692,6,,,,,,,,
10771,1645,1696,6,,,,,,,,
10800,,,,-5.8160372,8.2,,,,,,
10804,1639,1700,6,,,,,,,,
10840,1642,1704,6,,,,,,,,
10856,1643,1708,6,,,,,,,,
10871,1644,1712,6,,,,,,,,
10893,1646,1716,6,,,,,,,,
10900,,,,-5.5284701,8.2,,,,,,
10914,1638,1720,6,,,,,,,,
10942,1641,1724,6,,,,,,,,
10976,1644,1728,6,,,,,,,,
10996,1646,1732,6,,,,,,,,
11000,,,,-3.7138872,6.9,,,,,,
11030,1641,1736,6,,,,,,,,
11066,1644,1740,6,,,,,,,,
11099,1647,1744,6,,,,,,,,
11100,,,,-4.6055483,7.4,,,,,,
11123,1641,1748,6,,,,,,,,
11154,1644,1752,6,,,,,,,,
11180,1646,1756,6,,,,,,,,
11200,,,,-6.525071300000002,8.8,,,,,,
11211,1640,1760,6,,,,,,,,
11240,1642,1764,6,,,,,,,,
11270,1645,1768,6,,,,,,,,
11298,1647,1772,6,,,,,,,,
11300,,,,-4.7405366,7.4,,,,,,
11325,1642,1776,6,,,,,,,,
11348,1644,1780,6,,,,,,,,
11376,1646,1784,6,,,,,,,,
11396,1647,1788,6,,,,,,,,
11400,,,,-4.4893184,8.2,,,,,,
11424,1641,1792,6,,,,,,,,
11452,1644,1796,6,,,,,,,,
11474,1645,1800,6,,,,,,,,
11488,1646,1804,6,,,,,,,,
11500,,,,-5.0372267,9.0,,,,,,
11518,1640,1808,7,,,,,,,,
11542,1642,1812,7,,,,,,,,
11571,1644,1816,7,,,,,,,,
11586,1645,1820,7,,,,,,,,
11600,,,,-5.0709141,7.4,,,,,,
11622,1640,1824,7,,,,,,,,
11644,1642,1828,7,,,,,,,,
11671,1644,1832,7,,,,,,,,
11693,1646,1836,7,,,,,,,,
11700,,,,-4.6592802,7.8,,,,,,
11724,1641,1840,7,,,,,,,,
11749,1643,1844,7,,,,,,,,
11779,1645,1848,7,,,,,,,,
11799,1647,1852,7,,,,,,,,
11800,,,,-3.9337273999999995,6.7,,,,,,
11822,1641,1856,7,,,,,,,,
11839,1642,1860,7,,,,,,,,
11870,1645,1864,7,,,,,,,,
11900,,,,-4.3297425,6.6,,,,,,
11906,1641,1868,7,,,,,,,,
11927,1643,1872,7,,,,,,,,
11945,1644,1876,7,,,,,,,,
11980,1647,1880,7,,,,,,,,
11998,1648,1884,7,,,,,,,,
12000,,,,-5.0586597000000015,7.0,,,,,,
12016,1642,1888,7,,,,,,,,
12047,1645,1892,7,,,,,,,,
12070,1646,1896,7,,,,,,,,
12088,1648,1900,7,,,,,,,,
12100,,,,-5.4725801,9.0,,,,,,
12112,1641,1904,7,,,,,,,,
12131,1642,1908,7,,,,,,,,
12158,1644,1912,7,,,,,,,,
12194,1647,1916,7,,,,,,,,
12200,,,,-5.0064896999999995,7.4,,,,,,
12214,1641,1920,7,,,,,,,,
12240,1643,1924,7,,,,,,,,
12261,1645,1928,7,,,,,,,,
12291,1647,1932,7,,,,,,,,
12300,,,,-5.806498899999999,8.2,,,,,,
12327,1642,1936,7,,,,,,,,
12345,1643,1940,7,,,,,,,,
12373,1646,1944,7,,,,,,,,
12398,1647,1948,7,,,,,,,,
12400,,,,-6.4272529999999986,9.0,,,,,,
12427,1641,1952,7,,,,,,,,
12450,1643,1956,7,,,,,,,,
12480,1645,1960,7,,,,,,,,
