#{"t_start": 1735015677.8548002, "env_id": "GraspEnv_v3"}
r,l,t
0.922483,1,11.925313
-8.190657,9,11.980322
0.892934,1,11.982325
-3.721353,9,11.992324
-5.001632,9,12.001464
-3.249908,9,12.013462
-7.325161,9,12.020258
0.825316,1,12.022256
-5.0571,9,12.029249
-8.680988,9,12.037264
-6.391039,9,12.044259
-5.961818,9,12.104274
-6.455846,9,12.112278
-7.227077,9,12.119901
-8.957437,9,12.127952
-8.230146,9,12.134938
-3.212206,9,12.142919
-5.129853,9,12.149901
-8.553391,9,12.157937
-6.795959,9,12.164901
-8.336272,9,12.172917
-7.637969,9,12.225649
-8.96226,9,12.233675
-4.626508,9,12.241663
-5.705008,9,12.249671
-7.03783,9,12.257684
-7.487704,9,12.264734
0.093132,3,12.267742
-2.808309,9,12.275751
-7.179882,9,12.283741
-6.32008,9,12.291748
-6.545691,9,12.349676
-7.42452,9,12.35763
-2.580097,9,12.365651
-4.765641,9,12.374655
-6.051567,9,12.381626
-4.624814,9,12.38962
-8.107378,9,12.397632
-6.691888,9,12.405695
-7.12374,9,12.413796
-3.867583,9,12.420597
-6.591019,9,12.473609
-4.111329,9,12.481608
-5.219244,9,12.490601
-8.583357,9,12.498611
-2.337077,9,12.505749
-7.757518,9,12.512698
-0.377452,5,12.517309
-5.380193,9,12.524306
-5.408734,9,12.532304
-8.446324,9,12.539308
-6.351901,9,12.592319
0.98486,1,12.594302
-2.88254,9,12.602456
-6.649767,9,12.609369
-7.026207,9,12.617188
-7.439363,9,12.624188
-3.551991,9,12.631191
-2.331724,9,12.638189
-4.804164,9,12.645187
-6.909901,9,12.655198
-5.240963,9,12.705344
0.858443,1,12.708348
-3.858601,9,12.715994
-8.170433,9,12.725129
-6.173545,9,12.733134
-8.903734,9,12.740128
-3.801146,9,12.748124
-8.680298,9,12.755089
-7.481453,9,12.763133
-5.319394,9,12.770131
-6.83116,9,12.823843
-6.893853,9,12.832854
-2.941675,9,12.842854
0.987739,1,12.845773
-8.720828,9,12.85285
-6.074004,9,12.860852
-2.728961,9,12.868845
-8.156262,9,12.877852
-5.184316,9,12.884852
0.836083,1,12.886866
-7.524236,9,12.938729
-0.952122,4,12.943744
-8.927692,9,12.951721
-8.971545,9,12.96173
0.871793,1,12.963724
-4.089838,9,12.970726
-2.146008,9,12.982725
-5.223065,9,12.990721
0.888905,1,12.991719
-7.114767,9,12.999723
0.861284,1,13.047655
-3.558733,9,13.058579
-8.225771,9,13.066575
0.320915,3,13.070575
-7.881107,9,13.078589
-8.424812,9,13.086663
-2.370843,9,13.094658
-6.93283,9,13.101795
-7.029793,9,13.109786
0.886538,1,13.111788
-8.982768,9,13.166514
-6.733077,9,13.175518
-7.793849,9,13.18352
-0.933981,9,13.191506
0.25265,3,13.194526
-8.219308,9,13.202595
-8.721345,9,13.209579
-2.667609,9,13.217226
-8.203932,9,13.224243
-6.23801,9,13.232238
-7.658444,9,13.286318
-6.573936,9,13.294243
-5.045772,9,13.302444
-6.996197,9,13.310447
-5.638774,9,13.318226
-2.067422,9,13.325172
-3.466532,9,13.333215
-8.897748,9,13.340214
-4.482088,9,13.349217
-7.507709,9,13.357253
-5.047529,9,13.411294
-8.950185,9,13.419942
-7.667672,9,13.427942
-5.906063,9,13.435959
-3.691995,9,13.442947
-2.875488,9,13.451019
0.914519,1,13.45302
-6.809948,9,13.460021
-8.517735,9,13.468014
-6.699653,9,13.475023
-8.919894,9,13.527965
-7.496068,9,13.538883
0.861879,1,13.540931
-6.036679,9,13.549922
-5.54204,9,13.558941
-8.504152,9,13.566922
-8.287563,9,13.574849
-6.289601,9,13.582853
-5.890483,9,13.590855
-2.862626,9,13.599864
-3.329591,9,13.655868
0.63579,2,13.659835
-3.80592,9,13.669884
-2.85227,9,13.679873
-8.560418,9,13.686869
-8.619335,9,13.695868
-3.926726,9,13.704001
-5.451699,9,13.712005
0.856581,1,13.715034
-3.198024,9,13.724787
-7.580301,9,13.784858
-6.779472,9,13.794837
-8.436167,9,13.803005
-8.993461,9,13.812019
-5.133002,9,13.819786
-3.700785,9,13.827786
0.965031,1,13.829784
-1.811337,9,13.837786
-5.294561,9,13.845784
-6.642528,9,13.853784
0.785931,2,13.902895
-8.836666,9,13.915937
-8.253337,9,13.924692
-5.428766,9,13.93269
-5.544895,9,13.940689
-3.156702,9,13.94869
-2.25828,9,13.956693
-7.582832,9,13.964686
-8.871596,9,13.973706
0.97912,1,13.975636
-8.44649,9,14.028098
-5.748761,9,14.037104
-8.95884,9,14.047209
-2.384208,9,14.055103
-3.953096,9,14.064059
-2.315191,9,14.074095
0.879664,1,14.076081
-8.096265,9,14.0841
-8.995216,9,14.092101
0.920088,1,14.095098
-8.037143,9,14.148995
-7.667246,9,14.158052
-3.965147,9,14.167028
0.861626,1,14.169019
-3.168948,9,14.178051
-5.194841,9,14.186022
-1.195654,9,14.194044
-8.484431,9,14.202026
-7.632742,9,14.209119
-5.018403,9,14.21716
0.823636,1,14.269846
-7.818851,9,14.27886
-5.9873,9,14.286891
-2.290376,9,14.295945
-3.787463,9,14.304086
-8.766878,9,14.312079
-8.192371,9,14.319859
-5.816305,9,14.329862
-5.63986,9,14.339854
-7.385778,9,14.347863
-8.444855,9,14.40287
-3.054037,9,14.413969
-4.904177,9,14.423239
-8.961683,9,14.435299
-8.126356,9,14.447306
-2.61523,9,14.456303
-0.138285,3,14.460301
-5.824423,9,14.46831
-7.861726,9,14.476303
-8.864368,9,14.484318
-8.229893,9,14.535235
-5.367838,9,14.545141
0.180811,3,14.549141
-3.763886,9,14.557154
0.965044,1,14.560153
-8.926705,9,14.568142
-1.005343,6,14.575163
-5.18129,9,14.584157
-6.205787,9,14.593186
-6.024441,9,14.601156
-8.697686,9,14.656038
-5.589652,9,14.664038
-3.02529,9,14.672109
-2.781828,9,14.681109
-7.388547,9,14.689105
-3.962364,9,14.701119
-8.603916,9,14.711294
-5.497013,9,14.72014
-4.163568,9,14.729154
-8.014066,9,14.741137
-5.145106,9,14.800191
-2.66639,9,14.812287
-3.766087,9,14.820094
-8.670154,9,14.831106
-5.517197,9,14.839087
-0.726504,7,14.846092
-8.048496,9,14.855085
-5.690545,9,14.863104
0.811739,1,14.866094
-7.278268,9,14.876068
-8.68029,9,14.930743
